Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
		La fonna che neta le scale l'e' malada	Iseo8	Iseo,Brescia,Lombardia	Orientale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 = fless 6 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A femena che netta e scae a è maeada	Jesolo	Jesolo,Venezia,Veneto	Lagunare	
		La fémena che nèta le scale l’é malada	Lamon	Lamon,Belluno,Veneto	Centro-settentrionale	
		A dona che la pulissa e scae l'è maota	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		La femena che neta le scale l'ei malada	Laste di Rocca Pietore	Rocca Pietore,Belluno,Veneto	Ladino Atesino	
		La dona che la neta i scal l'è malada	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La femena che neta e scae ze maà	Lion	Albignasego,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La fema ca la neta li scala l'e maleda	Livigno1	Livigno,Sondrio,Lombardia	Alpino	
		La féma ca la fè ó li sc'cala l'é maléda	Livigno2	Livigno,Sondrio,Lombardia	Alpino	
		La fonna che la neta le scale l'è malada	Lonato	Lonato del Garda,Brescia,Lombardia	Orientale	
		La dona che neta 'e sca(l)e sè ma(l)à	Longare	Longare,Vicenza,Veneto	Meridionale	
		La femina che 'a neta li s'cialis jè malada	Lucanico	Gorizia,Gorizia,Friuli Venezia Giulia	Friulano Centro-orientale	
		La dona che neta e scaee la xè malà	Lupia di Sandrigo	Sandrigo,Vicenza,Veneto	Meridionale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La dona ca pules li scali lâÃ¨ malada	Luzzara1	Luzzara,Reggio nell'Emilia,Emilia Romagna	Mantovano	
		La fonna che la neta le scale l'è malada	Malonno	Malonno,Brescia,Lombardia	Orientale	
		A fémena che neta e scae ze maeà	Marostica	Marostica,Vicenza,Veneto	Meridionale	
		Ea femena chea puisse e scae a se maeÃ 	Marostica2	Marostica,Vicenza,Veneto	Meridionale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | WH sogg | 
		Ea femena che sneta e scàe ea ze maeà	Maserà di Padova	Maserà di Padova,Padova,Veneto	Meridionale	 | agg | clit femm | clit sogg | doubling | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A femena che neta e scae a ze maeà	Mason Vicentino	Mason Vicentino,Vicenza,Veneto	Meridionale	
		La themena che lava i scaler, le malava	Mellame d’Arsiè	Arsiè,Belluno,Veneto	Trentino orientale	
		La dona che neta i scal l'è malada	Milano2	Milano,Milano,Lombardia	Occidentale	
		La donna che la neta i scal l è malada	Milano3	Milano,Milano,Lombardia	Occidentale	
		La dona che la neta i scal l'è malada	Milano4	Milano,Milano,Lombardia	Occidentale	
		Ea dona che a neta e scae a zé maeada	Mirano	Mirano,Venezia,Veneto	Meridionale	
		A dona che neta e scae ze maeada	Mirano	Mirano,Venezia,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La femina che neta li scialis e ie malada	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		la fomna che netaja le scale l'è malada	Monno	Monno,Brescia,Lombardia	Orientale	
		Ea femena che neta e scae xe maà	Monselice	Monselice,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La dona che pulisce le scale la xè malà	Montecchio Precalcino	Montecchio Precalcino,Vicenza,Veneto	Meridionale	 | agg | clit 3 | clit femm | clit sogg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La femena ca neta li scialis a è malada	Montereale Valcellina	Montereale Valcellina,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		A femena che neta e scae a è maeada	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		La femine che nete lis scjalis e ie malade	Nimis	Nimis,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		A femena che neta e scae a se maeada.	Noale	Noale,Venezia,Veneto	Centro-settentrionale	
		La femla che neta le sciale la e malada	Nones 	Tassullo,Trento,Trentino Alto Adige	Trentino Occidentale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		A donna ca pulisce e scae a l'è maotta	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		--> testo vuoto <---	Ortisei	Ortisei/St. Ulrich,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		--> testo vuoto <---	Ortisei	Ortisei/St. Ulrich,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		La donna che ppulisce le scale sta male	Osimo	Osimo,Ancona,Marche	Anconetano	 | agg | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | stare | trans | WH sogg | 
		La fèmnä c nèta li sali è maladä	Padola	Comelico Superiore,Belluno,Veneto	Ladino Cadorino	
		Ea dona che neta e scae ea zé maeà	Padova3	Padova,Padova,Veneto	Meridionale	
		Ea dona che sneta e scae ea ze maeà	Padova4	Padova,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea dona che lava e scàe ze maeà	Padova5	Padova,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea donna che neta e scàe ze maeà	Padova6	Padova,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea dona che fa e scàe ea ze maeà	Padova7	Padova,Padova,Veneto	Meridionale	 | agg | clit femm | clit sogg | doubling | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea dona che sneta e scae ea ze maà	Padova8	Padova,Padova,Veneto	Meridionale	 | agg | clit 3 | clit femm | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La dona che neta e scae ze maà	Padova9	Padova,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		La femena che neta la sales la è malada	Peaio	Vodo Cadore,Belluno,Veneto	Ladino Cadorino	
		A femena che neta e scae ze maeà	Pianiga	Pianiga,Venezia,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea femena che neta e scae a ze maeà	Pianiga1	Pianiga,Venezia,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A femena che neta e scae ze maeà	Pianiga2	Pianiga,Venezia,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		A femena che sneta e scae ze maeà	Pianiga3	Pianiga,Venezia,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea femena che sneta e scàe ze maeà	Piove di Sacco	Piove di Sacco,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea femena che sneta e scae xe maà	Piove di Sacco2	Piove di Sacco,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
		Ea femena che neta e scae ze maà	Piove di Sacco3	Piove di Sacco,Padova,Veneto	Meridionale	 | agg | essere | fless 3 | indic pres | ogg def | ogg dir | ogg femm | ogg plur | rel restr | sogg def | sogg femm | sogg nom | sogg prev | trans | WH sogg | 
