Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
		Cul ve mangiat massa dolz, a Gianni j a vignut mal	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Avend magnè tropa torta, Gianni u sè sentì mel	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		Scicume Giuani i gi-ha mangià tropa turta i se sentì mau	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		Al'ha mangià tropa turta, Gianni a l'è sentise mal	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		Avend mengià tropa torta, Gioanin a 's s'é sentusse mal	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Coum al avio minjà trop de dou, Gianni s'è sentì mal	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		Sicome l'ha magnà masa torta, al Gianni ghi è vegnù mal	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		Sicome che ga magnà massa dolse, Gianni se ga sentio mal / mae	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		Vent (avent) mangjat massa fujassa, Gjani al si è sintut mal	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		Siccome el ga magnà masa torta, Gianni se ga sentio mae	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		Davia che l'ova maià massa teurta, stajova Jan ert	Selva di Val Gardena	Selva di Val Gardena/Wolkenstein in Groeden,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		Gavendo magnà masa torta, Giani se ze/ga sentio mae	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		Avend mangià tròpa torta, Giors a l'è sentusse mal	Torino	Torino,Torino,Piemonte	Alto piemontese	
		Avenda mangià fondos ed torta, Gianni a l'è sentisse mal	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		Per avej mangià tropa torta , Gioann a l'è sentisse mal/ Avend mangia'...	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		Avend mangià tropa torta, Giano al'è sentusse mal	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		Gioanin a l'ha sentissi mal perchè ch'a l'ha mangià tropa torta	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		Sicomu l'è mangià tropa torta, Giani l'è sintusa mala	Trecate	Trecate,Novara,Piemonte	Novarese	
		El ga magnà massa dolce, Gianni el se gà sentio mal	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		Gavendo magna tropa torta, Giovani se ga sentì mal	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		Sicome el ga magnà massa torta, Gianni se gà sentio male	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		D'avè mangiau tropa turta Giuanin u s'è sentiu ma / Sicume u l'à mangiau..	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		Avendu mangia tropa turta Giani al se santu ma	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		Per iga mangià trop tanta torta, Giani 'l se sinti mal	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	8.0	L'ho vista ieri				 | acc partic clit | aux A | avv temp | clit 3 | clit femm | clit ogg dir | fless 1 | indic pass pross | ogg dir | ogg femm | ogg sing | pro | trans | 
		Lo iduda ier	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		L'ho vista algeri/ieri.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		L’ho vist algeri	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		L’ho vista algèri	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		E l'eu 'viscta ieri	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A l'ho vista aiei	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		L'o vista vei	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		L'o vista (vusta) vej	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		A l'ho ista ier	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic clit | aux A | avv temp | clit 3 | clit femm | clit ogg dir | clit sogg espl | fless 1 | indic pass pross | ogg dir | ogg femm | ogg sing | pro | trans | 
		A l ò vesta air	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		(mi) a l'ò vista jer	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		E 'l l'on vista ier	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		J'ò vustala jera	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		A l'ho vista eri	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		L'ho vesta ier / A l'ho vesta ier	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		L'o vista vei	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		L'ho vista algeri	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		L'ai vista 'nier	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		A lo vesta iir	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		L'ò usta vei	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		L'ai vioduda ier	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		(e') lo vista ieri	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		L'u vista ier	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		L'ho vista ieri	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		L'o vista vei	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		L'ò vista ieri	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		(e) l'ho vista ieri?	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		A l'ho vesta ir	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A l'ò vista aiei	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		L'ho veduda ier	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A l’ö vesuda ieer	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A l'o veduda ieer	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La go vista ieri	Longare	Longare,Vicenza,Veneto	Meridionale	
		L'ho ista ier	Malonno	Malonno,Brescia,Lombardia	Orientale	
		A l'u vista ier	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		La go vista ieri	Mestre	Venezia,Venezia,Veneto	Lagunare	
		l u vista ier	Milano1	Milano,Milano,Lombardia	Occidentale	
		L'u vista ier	Milano2	Milano,Milano,Lombardia	Occidentale	
		L u vista ìer	Milano4	Milano,Milano,Lombardia	Occidentale	
		L'hai vioduda ier	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		L'hai vist-lo jer	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		I'heu vistla jer	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		L'ho vista ier	Monno	Monno,Brescia,Lombardia	Orientale	
		L'hai vista aeri	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		L'ho vista ieri	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		La go vista ieri	Padova1	Padova,Padova,Veneto	Meridionale	
		A go vista ieri	padova2	Padova,Padova,Veneto	Meridionale	
		A go vista ieri	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		La go vista ieri	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		L'ho vista ier	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		A ro vista seira	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		La go vista ieri	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		A l’ei vîto ie	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		Lo vista vei	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		La hai viduda ier	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		A l'ho vesta ir	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		E l'ho vista aii	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		A l ha vista ier	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		I'l l'ho vista jer	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		L'ai vito ier	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		L'ho vista ieri	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		(E)a go vista jeri	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		'I l'ai viduda ier	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		A go vista ieri	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		A go vista ieri	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		I l'hai vədula ier	Torino	Torino,Torino,Piemonte	Alto piemontese	
		I l'hai vist-la ier	Torino	Torino,Torino,Piemonte	Alto piemontese	
		l'hai vistla jer	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		I l'hai veddula jer	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		I l'hai vistla jer	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		I l'ho vistla jer	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		Such vistara jer (ho vistara jer )	Trecate	Trecate,Novara,Piemonte	Novarese	
		'A go vista ieri	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		La go vista ieri	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		La go vista ieri	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		L'on vista seira	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		A lo vista ier	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		L'o ista ier	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	11.0	Ti deve dare quel libro				 | clit 2 | clit climb | clit indir | dimostr | dovere | fless 3 | indic pres | inf sempl | ogg dir | ogg indir | ogg masch | ogg sing | pro | trans | 
		O da dat chel libro	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		El ga (m.) / La ga (f.) da darte quel libro	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		El deve darte quel libro	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		El te deve dar quel libro	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ut deev dee cul libbr	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		I te deve dae clo libio	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		U t a da dà su libru	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
