Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
1.0	106.0	vi siete seduti				 | acc partic sogg | aux E | clit 5 | clit rifless | fless 5 | indic pass pross | pro | sogg masch | sogg plur | 
		ve se sentat gio	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Ve se sentài zo	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ve se sentadi	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ve se sentadi zo	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		ev saj istoj	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		a ve sie asetà	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		ve sei asetè	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		ve sej aseté	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Av si sentadi	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | aux E | clit 5 | clit rifless | clit sogg espl | fless 5 | indic pass pross | pro | sogg masch | sogg plur | 
		vueter a v si mess a seder	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		vu av sì santà	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		viet ev sej sità	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		j'è sita-sgjovvi	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		voici i vsei stoi	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		av si santa	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		ve sei assete	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		ve sè sentai	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		ve avè sen'ta du	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		vo av si mes in sdei	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		ve sei aseté	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		Si ses siutas	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Si son siutas	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		(e') vi sete messi a sedé	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		av sii setat giò	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Ve se sentai (do)	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		ve sei asseté	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		vuotri ve sei setè	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		vu vi siete seduti	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		a'v si mes insdé	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		voi (voiaotri) a ve se asetà	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		a va sii setaa	Lecco	Lecco,Lecco,Lombardia	Orientale	
		si setà giò	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A va sii setaa	Lecco	Lecco,Lecco,Lombardia	Orientale	
		ve ve sì sintà	Longare	Longare,Vicenza,Veneto	Meridionale	
		va sa se sentach do	Malonno	Malonno,Brescia,Lombardia	Orientale	
		af si sentà	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		ve si sentà(i) / ve gavì sentà	Mestre	Venezia,Venezia,Veneto	Lagunare	
		vi si setà giò	Milano1	Milano,Milano,Lombardia	Occidentale	
		ve si setà gio	Milano2	Milano,Milano,Lombardia	Occidentale	
		Ve si setà	Milano4	Milano,Milano,Lombardia	Occidentale	
		e siis sintas	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		i seve setave	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		I sej stave/ i j'hej stave	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		v-sè sentà zo	Monno	Monno,Brescia,Lombardia	Orientale	
		ve sè sentadi	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		ve se sentai	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		i ve sei setai	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		ve sì (gavi) sentà	Padova1	Padova,Padova,Veneto	Meridionale	
		ve si sentai	padova2	Padova,Padova,Veneto	Meridionale	
		vuatris vi ses sintas	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		ve se sentai	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		Vui seve stave	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		u v sei stoi	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		ve se sentai	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		Ou voû se assëtá	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		ve sei assetè	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		o ses sintas	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		au si mes disdè	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		e ve se setà	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		i seve setase	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		viet iv sej setà	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		ou s' se sta	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		ve se sentai	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		Ve gavè sentà	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		'i vi ses sintas	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		ve gavì sentà	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		ve si sentà/sentai	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		I seve setasse	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		A seve setave	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		I seve stave	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		a l'ej setavi	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		Vuiati si sitava	Trecate	Trecate,Novara,Piemonte	Novarese	
		ve gavè sentai	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		(voialtri) ve gavè senta(do)	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		ve si sentà	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		ve sei asetai	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		va si santa gio	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		vualtre (vo) ve si sentà zo	Vione	Vione,Brescia,Lombardia	Orientale	
						
2.0	8.0	Se non piove, venite da noi?				 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		S u nu ciove vegnì da nui?	Alassio	Alassio,Savona,Liguria	Gallo-Italico Ligure	 | clit 3 | clit sogg | clit sogg espl | meteo | negaz prev | 
		S’u pjöv nen, veni da nujàutri?	Alba	Alba,Cuneo,Piemonte	Alto piemontese	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		S'al piof cà vigni da nu?	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Se no ‘l piove vegnì da noi?	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Se no el piove vegnì da noi?	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Se nol piove, vegnì da noi?	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Se un cioeuv, evnij da nioci?	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		Se no piove, vignio da nialtri?	Altavilla Vicentina	Altavilla Vicentina,Vicenza,Veneto	Meridionale	
		Se no piove, vignio da noialtri?	Alte Ceccato	Montecchio Maggiore,Vicenza,Veneto	Centro-settentrionale	
		Se no pueu, niu da noi?	Amblar	Amblar,Trento,Trentino Alto Adige	Ladino-anaunico	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Sa nol plouf, vigniu i da no?	Andreis	Andreis,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		Se no plof, vigniso ca di no?	Aquileia	Aquileia,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Se la ne piova a vegnì a ca nostra?	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		Se nu ciove ge venì da nuiatri?	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		Se no piove, vegnio da noaltri?	Arsiero	Arsiero,Vicenza,Veneto	Meridionale	
		Se nu ciove, vegni da nuatri?	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		S'a piof mia, gni da nuantar?	Bagnolo S. Vito	Bagnolo San Vito,Mantova,Lombardia	Mantovano	
		Sa nol plouf, vegniva da nos?	Barcis	Barcis,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		San piov mia gniv da nualtar?	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | meteo | negaz espletiva | negaz prev | PP loc | pro | subord | 
		Se non chiove, viniti nti nuatri?	Biancavilla	Biancavilla,Catania,Sicilia	Area orientale non metafonetica	
		S'a n' piov brisa, a vegniv da nueter?	Bologna1	Bologna,Bologna,Emilia Romagna	Orientale	
		Gniv da no s a n piov brisa?	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		S'an piove brisa, gniv da nu?	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Su un ciova veni da nuatri?	Borghetto di Vara	Borghetto di Vara,La Spezia,Liguria	Gallo-Italico Ligure	
		Sà piova mja, j gné scià?	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		He 'l pioef mia, gnif che'?	Borgonato1	Corte Franca,Brescia,Lombardia	Orientale	 | clit 3 | clit masch | clit sogg espl | fless 3 = fless 6 | fless 5 | impers | inacc | indic pres | interr dir | meteo | negaz postv | PP loc | pro | subord | 
		He 'l pioef mia ignif de noter?	Borgonato2	Corte Franca,Brescia,Lombardia	Orientale	 | clit 3 | clit masch | clit sogg espl | fless 3 = fless 6 | fless 5 | impers | inacc | indic pres | interr dir | meteo | negaz postv | PP loc | pro | subord | 
		He 'l pioef miga, egni' de noter?	Borgonato3	Corte Franca,Brescia,Lombardia	Orientale	 | clit 3 | clit masch | clit sogg espl | fless 3 = fless 6 | fless 5 | impers | inacc | indic pres | interr dir | meteo | negaz postv | PP loc | pro | subord | 
		He 'l pioef mia, ignif de noter?	Borgonato4	Corte Franca,Brescia,Lombardia	Orientale	 | clit 3 | clit masch | clit sogg espl | fless 3 = fless 6 | fless 5 | impers | inacc | indic pres | interr dir | meteo | negaz postv | PP loc | pro | subord | 
		He 'l pioef mia egni' de noter?	Borgonato5	Corte Franca,Brescia,Lombardia	Orientale	 | clit 3 | clit masch | clit sogg espl | fless 3 = fless 6 | fless 5 | impers | inacc | indic pres | interr dir | meteo | negaz postv | PP loc | pro | subord | 
		Se 'l pioef mia egni' de noter?	Borgonato6	Corte Franca,Brescia,Lombardia	Orientale	 | clit 3 | clit masch | clit sogg espl | fless 3 = fless 6 | fless 5 | impers | inacc | indic pres | interr dir | meteo | negaz postv | PP loc | pro | subord | 
		Egnif de noter he 'l pioef mia?	Borgonato7	Corte Franca,Brescia,Lombardia	Orientale	 | clit 3 | clit masch | clit sogg espl | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | meteo | negaz postv | PP loc | pro | subord | 
		Se no piove, vegnio da noaltri?	Borgoricco 1	Padova,Padova,Veneto	Meridionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		S’al pieuv nèn-, amnìj da nuj?	Borgo San Martino	Borgo San Martino,Alessandria,Piemonte	Alto piemontese	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Se al plòf mìga, vegnì de noàltri?	Bormio	Bormio,Sondrio,Lombardia	Alpino	
		Se no piove, vegni/vegnio da noaltri?	Bovolone	Bovolone,Verona,Veneto	Veronese	
		Se no piove, vegnio da noaltri?	Briana	Noale,Venezia,Veneto	Centro-settentrionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Su piof mia, a vegnì da noi?	Brione	Brione,Brescia,Lombardia	Orientale	
		Sun ciov nente, i veni da nioci?	Cairo Montenotte	Cairo Montenotte,Savona,Liguria	Gallo-Italico Ligure	
		Se no pioe iené ca da noi ?	Calalzo di Cadore	Calalzo di Cadore,Belluno,Veneto	Ladino Cadorino	
		Hel piof mia, egnì che de noter?	Calcinate	Calcinate,Bergamo,Lombardia	Orientale	
		Se no pióve, venio da noi altri?	Caldogno	Caldogno,Vicenza,Veneto	Meridionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Se u ciove, vnì con nuiaci?	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		Se a piov ne, veni da nui?	Calliano	Asti,Asti,Piemonte	Alto piemontese	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Se no piòve, venìo da noialtri?	Camisano Vicentino	Camisano Vicentino,Vicenza,Veneto	Meridionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Se no piove, vegnìo da noaltri?	Campagnola	Brugine,Padova,Veneto	Meridionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | sogg encl | subord | 
		S'u n'ciov nent, e vni da nui?	Carcare	Carcare,Savona,Liguria	Gallo-Italico Ligure	
		Se no piove, vignio da noaltri ?	Carmignano di Brenta	Carmignano di Brenta,Padova,Veneto	Meridionale	
		Se non pióve vegnì da noaltri?	Carmignano di Brenta1	Carmignano di Brenta,Padova,Veneto	Meridionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		S an piov mia, gniv a ca'?	Carpi	Carpi,Modena,Emilia Romagna	Occidentale	
		Se a n& pióv v&nít da nó ?	Carrara	Carrara,Massa-Carrara,Toscana	Lunigiano	
		Su nu cioeve, vegni da nuatri?	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		Se no l pief, vegnide da nos ?	Cazet	Campitello di Fassa,Trento,Trentino Alto Adige	Ladino Atesino	
		Se no 'l piof, venio a casa nostra?	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Sa nol plouf, vignisu chi di nun?	Cesarolo1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		S'a nol plouf, i podesu vignì chi di nun?	Cesarolo2	San Michele al Tagliamento,Venezia,Veneto	Centro-settentrionale	
		S'u'n poiv, a vni'da nuitar?	Cesena2	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		Se no piove, vegneu ca da noi?	Cesiomaggiore	Cesiomaggiore,Belluno,Veneto	Centro-settentrionale	
		Se nu cieuve vegnì da niatri?	Chiavari1	Chiavari,Genova,Liguria	Gallo-Italico Ligure	
		Se nu cioeve vegnii da nouiatri?	Chiavari2	Chiavari,Genova,Liguria	Gallo-Italico Ligure	
		Se no piove, vegneo da noi?	Chies d'Alpago	Chies d'Alpago,Belluno,Veneto	Centro-settentrionale	
		Se no piove, vegnì da noialtri?	Chioggia	Chioggia,Venezia,Veneto	Lagunare	
		Se nu coe vegnì da niatri?	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		Sa no piof, vegnio da nos?	Cimolais	Cimolais,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		Se no piove, gneo da noi?	Cirvoi	Belluno,Belluno,Veneto	Centro-settentrionale	
		Se no'l pluuf, vigniso cun no?	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Sa no piof, vigniu vi da nosaltre?	Claut	Claut,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		Se un piove venite da noi?	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		S a no ploof viñízo da núo	Collina	Forni Avoltri,Udine,Friuli Venezia Giulia	Friulano Carnico	
		S a no ploof viñíot da núo	Collina	Forni Avoltri,Udine,Friuli Venezia Giulia	Friulano Carnico	
		S a no ploof vúo i viñíos da núo	Collina	Forni Avoltri,Udine,Friuli Venezia Giulia	Friulano Carnico	
		Se no pioe, vegnio da noialtri?	Colognola ai Colli	Colognola ai Colli,Verona,Veneto	Veronese	
		Se 'l piove miga a vegnii scià da numm?	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		S'a no plouf, vigniu da nos?	Cordenons	Cordenons,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		Se no piove, vegnì da noialtri?	Correzzola	Correzzola,Padova,Veneto	Meridionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Sce al ne plöi nia, gnîs da nos ?	Corvara	Corvara in Badia/Corvara,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		Se no piove vegnì da noialtri?	Due Carrare	Due Carrare,Padova,Veneto	Meridionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Se no piove, venìo da noialtri?	Due Carrare2	Due Carrare,Padova,Veneto	Meridionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Se no piove, venìo da noialtri?	Due Carrare3	Due Carrare,Padova,Veneto	Meridionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Se nol pieuf, vegniu chi da nos?	Erto	Erto e Casso,Pordenone,Friuli Venezia Giulia	Friulano Occidentale	
		Se no pióve, vegnì da noialtri?	Facca	Cittadella,Padova,Veneto	Meridionale	 | fless 3 | fless 5 | impers | inacc | indic pres | interr dir | interr sì/no | meteo | negaz prev | PP loc | pro | subord | 
		Lugheo ca da noi, se nol piof ?	Falcade	Falcade,Belluno,Veneto	Ladino-veneto	
		Se no piove, vegneo da noialtri?	Falzè di Piave	Sernaglia della Battaglia,Treviso,Veneto	Centro-settentrionale	
		Se no piove, vegneo da noi?	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
