Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
		A vuraria pudé parlat sübit	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A voria poderte parlare suito	Longare	Longare,Vicenza,Veneto	Meridionale	
		GAres de parlat subit, ma l'è trop tarde	Malonno	Malonno,Brescia,Lombardia	Orientale	
		A vures puder parlarat subit	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		Voria poderte parlar subito	Mestre	Venezia,Venezia,Veneto	Lagunare	
		Vuraria pudè parlat subit, ma purtrop l è tardi	Milano1	Milano,Milano,Lombardia	Occidentale	
		Vurarisi parlat subit	Milano2	Milano,Milano,Lombardia	Occidentale	
		Vuraría pudèt parlà sübit (ma l e tart)	Milano4	Milano,Milano,Lombardia	Occidentale	
		O vores pudì ciacarati subit, ma purtropi a le tart	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Voreria podei parlete subit	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		Veurria podeite parlè subit	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		Uris ciacolat subit ma l'è trop tardi	Monno	Monno,Brescia,Lombardia	Orientale	
		Voria poder parlarte subit	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		Vorie poderte parlar subito	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		A vureeva purete parlà subbetu	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		Voria poderte parlare subito / ??* Te voria poder parlare	Padova1	Padova,Padova,Veneto	Meridionale	
		Voria poderte parlare subito	padova2	Padova,Padova,Veneto	Meridionale	
		Volares podeti cjacarà cumò	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Voria poderte paralre subito (poder parlarte)	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		Vurija pudejte parlè subit, ma a l'è trop tard	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		A vureisa pureite parlé subito ma l'è tardi	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Voria poderte parlar suito, ma purtroppo le tardi	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		A voudrió pouguei parlâ-te toussuito (mâ œiro l’ei tar)	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		Vurie pueite parlà subbetu	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		O vares gust di ciacarati cumò, (ma l'è masse tart)	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Avria putoit scorti sobti, ma purtrop l'è terd	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		E vureai pudii subetu parlarte	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		Vuria tudeite parlé subit ma purtrop l'è tard	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		I vojà podej parlate subit, ma purtrop a l'é tard	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Vouriou pouguè te (te pougue)parlà subit ma...	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		Voria poder parlarte subit, ma l'è masa tardi	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		Voria parlarte desso, ma xe tardi	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		'I vores (voressi) podeti fevelà subita	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		Voria poderte parlare subito	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		Voria poderte parlar suito	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		I vorerìa podèj parlete sùbit, ma a l'è tard	Torino	Torino,Torino,Piemonte	Alto piemontese	
		I vorria podeite parlè dun-a	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		I vorria podeite parlé subit/I vorria podej parlete subit	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		I voreria podejte parlè subit	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		I voreria pudejti parlà subit	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		I vuraria pudì parleta sutu, ma purtrop l'è tard	Trecate	Trecate,Novara,Piemonte	Novarese	
		Voria poderte parlar sujto, ma oramai zè tardi	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		Volaria poderte parlar subito	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		Voria poderte parlare suito	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		Te vurereva parlà subitu ma l'è tardi	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		omessa	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		Ularis pudì parlat subit	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	31.0	E` sicuro di volergli dare quel posto				 | agg | clit 3 | clit climb | clit indir | clit masch | dimostr | essere | fless 3 | inf doppio | ogg def | ogg dir | ogg indir | ogg masch | ogg sing | presenza comp | pro | sogg masch | sogg sing | subord | trans | volere | 
		L' e sicur de volec dà chel post	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		L’è sicur de voler darghe quel posto.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Set sicure de volerghe dar quel posto.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		L’è sicur de voler darghe quel posto.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		U rà scicur ed vuraille dee cul posct	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		G'è seguo de voreeghe dae clò posto	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		U l'è seguu d oeige da quelu postu	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		L'è seguu de ueige da quelu postu	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		L'e' sicur da vlerag dar cal post	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | agg | clit 3 | clit climb | clit indir | clit masch | clit sogg espl | dimostr | essere | fless 3 | inf doppio | ogg def | ogg dir | ogg indir | ogg masch | ogg sing | presenza comp | pro | sogg masch | sogg sing | subord | trans | volere | 
		El sicur ad vleri der cal post?	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Lu l'è sicur ad vlerag dar cal post	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		A l'é sigur de voreje dar col post	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		L'è sicur da vurì deghi cul postu	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		L'è sciguro d'vureie dò cul postu	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		L'è sicu da voli dagh cul post	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		U l'è seguu de voighe dae u pustu in questiun	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		L'è sicur de volerghe dar quel posto	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		'l è segur de volè ghe da chel popsto	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Le sicur ad volei de che post	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		L'è seguu de voige da colu postu lì	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		El è sigur di volé dai chel puest	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		E' sicuro di volegli dà quer posto / di cole dagli / di voleglielo da	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		L'è sicur da vorè dagu quell post	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		L'e sicuro de volerghe dar quel posto	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		L'è seguu d orige da quellu postu	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		U l'è seguru de doghe (oreighe do) cuellu posto	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		L'è sicuro di volergli dare quel posto	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		L'è sicur ad vulei dé che post	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		I è seguo de voreghe dae quer posto	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		A le sicuur de vurete dak quel post	Lecco	Lecco,Lecco,Lombardia	Orientale	
		L'è sicur de vulech dagh chel post	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A l’è sicur de vurek dak quel post	Lecco	Lecco,Lecco,Lombardia	Orientale	
		El sè sicuro de voerghe dare chel posto	Longare	Longare,Vicenza,Veneto	Meridionale	
		L'è si'gur de olè dai cher post	Malonno	Malonno,Brescia,Lombardia	Orientale	
		L'è sicur ad vulerghe dar cal post	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		El sè sicuro de volerghe dare chel posto	Mestre	Venezia,Venezia,Veneto	Lagunare	
		L è sicur de vurè dac chel post	Milano1	Milano,Milano,Lombardia	Occidentale	
		L'è sicur de vurec dac che'l post lì	Milano2	Milano,Milano,Lombardia	Occidentale	
		L e sigúr de vulèg da kel post (lì)	Milano4	Milano,Milano,Lombardia	Occidentale	
		Isel sigur di vuli dai chel puest	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		A l'è sicur ed voreje de col post	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		O l'è sicur ed voleje de' col post	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		L'è sugur da dai col post	Monno	Monno,Brescia,Lombardia	Orientale	
		L'è segur de voler darghe quel posto	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		L'è sicuro de voerghe dar quel posto	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		U l'è seguu de vureghe da quellu postu	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		El se sicuro de volerghe dare chel posto /??* de voler darghe	Padova1	Padova,Padova,Veneto	Meridionale	
		Le sicuro de voerghe dare chel posto	padova2	Padova,Padova,Veneto	Meridionale	
		Al è sigur di volei da chel puest	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		El zè sicuro de volerghe dar quel posto	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		A l'è sicur 'd vuleje dè cul post là	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		L'è scicur ed voreie de quel post	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Le sicuro de voerghe dar chel posto	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		Oul ei sugû de vouguei dounâ-lhi quê post	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		U l'è seguu de vueige da quellu postu	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		El è sigur di olè daj a lui chel puest	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		L'è sicur da vloi da che post	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		I gi-è seguu de vurighe daa quer postu	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		A l'è sicur d'vuleire dè cul post	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		A l'é sicur ed vorij-je dé col post	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Al è-lo segur de li voulgue dounà qu'lo plaso	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		L'è sicur de volerghe dar quel posto	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		Xe sicuro de voerghe dar chel posto	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		Al è sicur di volej da chel post	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		El se sicuro de voerghe dare quel posto	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		El ze sicuro de voerghe dare chel posto	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		A l'è sicur əd vorej-jə dé col pòst	Torino	Torino,Torino,Piemonte	Alto piemontese	
		A veul propi deje col post	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		A l'è sicur ed vorej-je dè col post	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		A l'è sicur ed volej-je dè col post	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		A l'é sicur ed vorej deji col post	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		L'è sicur da vuri deja cul post là	Trecate	Trecate,Novara,Piemonte	Novarese	
		El zè sicuro de volerghe dar quel posto	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		El se sicuro de volerghe dar quel posto	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		El xè sicuro de volerghe dare quel posto	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		U l'è seguru c u ge vo dà su postu	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		omessa	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		L'è sigur de ulì daga chel post	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	39.0	Lo voglio presentare a Giorgio				 | clit 3 | clit masch | clit ogg dir | fless 1 | indic pres | inf sempl | ogg def | ogg dir | ogg indir | ogg masch | ogg sing | PP | PP def | PP sing | pro | trans | volere | 
		Lo voi presentà al Giorgio	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Voi presentarghelo al Giorgio	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ghel presento al Giorgio	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Voi presentarlo al Giorgio	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		El veuill presentee a Giorgio	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A voi falo cognose a Giorgio	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		L'ogiu presentà a u sorsu	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		L'ogiu presentà au Giorgiu	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Al voi presentar a Giorgio	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | clit 3 | clit masch | clit ogg dir | clit sogg espl | fless 1 | indic pres | inf sempl | ogg def | ogg dir | ogg indir | ogg masch | ogg sing | PP | PP def | PP sing | pro | trans | volere | 
		A l voi presenter a Giorgio	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Al voi presentar a Giorgio	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		E la veuj presentar a Giorgio	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		J vori presenteti al Giorgio	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		A u voiu presentò a Giorgiu	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		Al veui /voei presenta a Giorgio	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		Ou voegiu presentae au Giorgio	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		Voi presentarlo al Giorgio	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Voi presentalo a Dordi	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Me al voi prasante a Giorgio	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		G u ogiu fa cunuse au Giorgio	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		O uei presentalu a Giorgio	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		(e') lo voglio presentà a Giorgio	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		Voi presentagala ar Giorgio	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Vui presentargheo a Giorgio	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		U olu presentalu a Giorgiu	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		A l'oiu presento a-u 'Sorsu	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		(e) lo voglio presentare a Giorgio	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		Al voi presanté a Giorgio	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A vogio presentalo a Zorzo	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		A vorì presental a Giorgio	Lecco	Lecco,Lecco,Lombardia	Orientale	
		El vori presentà al Giorgio	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A vorì presental a Giorgio	Lecco	Lecco,Lecco,Lombardia	Orientale	
		A vorì presental a Giorgio	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Vojo presentarghelo a Giorgio	Longare	Longare,Vicenza,Veneto	Meridionale	
		Oi presentaghel al Giorgio	Malonno	Malonno,Brescia,Lombardia	Orientale	
		Al voi presentar a Giorgiu	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		Voio presentarghelo, a Giorgio	Mestre	Venezia,Venezia,Veneto	Lagunare	
		El vori prezentà a giorgio	Milano1	Milano,Milano,Lombardia	Occidentale	
		Vori presentaghel al Giorgio	Milano2	Milano,Milano,Lombardia	Occidentale	
		(El) vörì prezentàl al Giorgio	Milano4	Milano,Milano,Lombardia	Occidentale	
		O vuei presentalu a Giorgio	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I veuj presenteilo a Giorgio	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		I lo vej presente a Giorgio	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		Oi fael conoser a Giorgio	Monno	Monno,Brescia,Lombardia	Orientale	
		Voi farghel veder al Giorgio	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		Lo voi presentar a Giorgio	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		Au voju presentà a Giorgiu  A voju presentalu a Giorgiu	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		Vojo presentarghelo a Giorgio / Ghe lo vojo presentare a Giorgio	Padova1	Padova,Padova,Veneto	Meridionale	
		O vuio presentare a Giorgio	padova2	Padova,Padova,Veneto	Meridionale	
		Lu voi presentà a Giorgio	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Voio presentarghelo a Giorgio	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		Voj presentailu a Giors	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		A i voi presenté a Giorgiu	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Vui presentargheo a Giorgio	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		A vorou presantâ-lou a Djordjo	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		U voggiu presentà a u Giorgiu	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		O uei fajel cognosi a Giorgio	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Al voi presentè ma Giorgio	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		Er vogiu faa cunusce a Giorgiu	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		Voi presentelu a Giors	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		I'l veuj presenté a Giors	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Lou veui (veui lou) perzentà a Giorgio	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		Voi presentarghelo al Giorgio	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		(E)o vojo presentar a Giorgio	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		'I lu voi presenta a Zors	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		O voglio presentare a Giorgio	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		O vojo presentare a Giorgio	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		I veuj presentelo a Giòrs	Torino	Torino,Torino,Piemonte	Alto piemontese	
		I veuj presentelo a Giors	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		I veuj presentelo a Giors	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		I veuj presentelo a Giors	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		I veuj presentajlo a Giors	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		I vo prasanter a Giorgui	Trecate	Trecate,Novara,Piemonte	Novarese	
		Vojo presentarlo a Giorgio	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		Lo voio presentar a Giorgio / Voio presentarlo	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		Voio presentarghelo a Giorgio	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		U voiu apresentà a Giorgiu	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		omessa	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		Ole presentaghel a Giorgio	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	45.0	Glielo voglio dare per Natale				 | clit 3 | clit climb | clit cluster | clit indir | clit masch | clit ogg dir | fless 1 | indic pres | inf sempl | ogg dir | ogg indir | ogg masch | ogg sing | PP | PP def | PP sing | PP temp | pro | trans | volere | 
		A voi daghel par Nadal	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		Voi darghelo per Nadal.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ghe el dago a Nadal.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Voi darghelo a Nadal.	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ej lè veuill dee per Natal	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A voi daghelo per Nadae	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		Ogu dagelu pe denà	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		G'e l'ogiu da pe Natale	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		A gal voi dar par Nadal	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | clit 3 | clit climb | clit cluster | clit indir | clit masch | clit ogg dir | clit sogg espl | fless 1 | indic pres | inf sempl | ogg dir | ogg indir | ogg masch | ogg sing | PP | PP def | PP sing | PP temp | pro | trans | volere | 
