Questionario	Posizione	Frase	Dialetto	Comune,Provincia,Regione	Microarea,_Area,_Macroarea	Marche
		Mei soi less duć	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		(e') me li so letti tutti	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		Mi i u lengiut tucc	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Me i son leti tuti	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		Me l'o lesui tutti	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		A me i sun letti tutti	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		(e) me li sono letti tutti	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		A mi so let tot	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A mi i ò leti tuti	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		Mai a sun lengu tuch	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Mei a sun lengu tuch	Lecco	Lecco,Lecco,Lombardia	Orientale	
		I o legiù toc	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Me i son leti tuti	Longare	Longare,Vicenza,Veneto	Meridionale	
		Io lisich tuch	Malonno	Malonno,Brescia,Lombardia	Orientale	
		Am i u let tuti	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		Me li so leti tuti	Mestre	Venezia,Venezia,Veneto	Lagunare	
		M i a sun legiù tuc	Milano1	Milano,Milano,Lombardia	Occidentale	
		Mi siù legiu tuch	Milano2	Milano,Milano,Lombardia	Occidentale	
		M i sun le&#287;ü' tü&#269; (/ M i a sun le&#287;ü' tü&#269;)	Milano4	Milano,Milano,Lombardia	Occidentale	
		Me in soi les duc	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		I l'hai lesum-je tuj	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		I j'heu lesuje tucc	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		I-ho lusu tucc quancc	Monno	Monno,Brescia,Lombardia	Orientale	
		Mei son legiudi tuti	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		Me i son leti tuti	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		Me li so leti (leta) tuti	Padova1	Padova,Padova,Veneto	Meridionale	
		Me i so leti tuti	padova2	Padova,Padova,Veneto	Meridionale	
		Mi u soi les ducju	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Me li son leti tuti	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		Sum lesumie tuc	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		A mi son lzui tuci	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Mi i son letti tutti	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		A’m loû sou touti leiú	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		Me lo lesui tutti	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		Iu hai les duc	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		A mi so let tot	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		E m'ii son leti tuti	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		Mi sun lesumie tui	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		I 'mjio son let tuit	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Me li seou leiu tuti	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		Me i son leti tutti	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		Me i so leti tuti / Me i go leti tuti	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		'I mi ju soi lisus ducju	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		Me i go leti tuti	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		Me i è liec duc	Selva di Val Gardena	Selva di Val Gardena/Wolkenstein in Groeden,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		Me i so leti tuti	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		I l'hai lesum-je tuti	Torino	Torino,Torino,Piemonte	Alto piemontese	
		I son lesumje tuti	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		I son lesumje tuti	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		I son lesumje tuti	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		I son lesumji tucc	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		Such ligiuma tucc	Trecate	Trecate,Novara,Piemonte	Novarese	
		Me i go leti tutti quanti	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		Me li go leti tuti	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		Me li go leti tuti	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		Me l'on legiui tuti	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		Mi a so langiu toc	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		Mi si ho lizì tucc	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	7.0	Avendo mangiato troppa torta, Gianni si è sentito male				 | acc partic sogg | aux A | aux E | aux to C | avv mod | clit 3 | clit rifless | fless 3 | gerundio composto | indic pass pross | N proprio | ogg dir | ogg femm | ogg indef | ogg sing | pro | QP ogg dir | sogg def | sogg def | sogg masch | sogg masch | sogg prev | sogg prev | subord | trans | 
		Gianni al se sintit mal parche la maiat trop torta	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		El Giani l’ha magnà masa torta e l’è sta mal.	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La magnà masa torta, così el Giani  el se sentì mal.	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Siccome l’aveva magnà masa torta, Gianni el s'è sentì mal	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Dato che u l'ò mangioo troppa turta, Gianni u s'à sentù moo	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		Giane i se nteso mae perché già mangià tropa torta	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		U Giani u s'è sentiu ma aprovu cu l'à mangiau tropu turta	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		omessa	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		Avend magna' tropa torta, Giani al s'e' sentest mal	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | aux A | aux E | aux to C | avv mod | clit 3 | clit rifless | clit sogg espl | fless 3 | gerundio composto | indic pass pross | N proprio | ogg dir | ogg femm | ogg indef | ogg sing | pro | QP ogg dir | sogg def | sogg def | sogg masch | sogg masch | sogg prev | sogg prev | subord | trans | 
		Gianni al s è sintò mel, l a magnè tropa tourta	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		Giani l'è sta mal parchè l'a magnà tropa torta	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		Gianni a l'ha mangià tropa torta e a s'ha sentù mal	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		Avendu mangià tonta torta, Giuani j l'a sintossi mal	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		Avendu mangiò troppa turta, Gianni u se sentì mo	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		Lu l'ha mangià tropa turta et el s'è sentì mal / Giani l'ha mangià tropa turta e l'è sta mal	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		U Giani u sè sentiu mae perché u l'à mangiau troppu duse	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		El Giani l'ha magnà masa torta e el s'ha sentù mal	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		Da che 'l avea magnà masa peta, el Gioani el s'à sentù mal	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		Avend magnè tropa torta Giani u'sè sintì mel	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		D oi mangiò tropa turta u Giani us è sentiu ma	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		Vint mangiada massa torta, Gianni si a sintuut mal	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Siccome ha mangiato troppa torta, Gianni (e') s'è sentito male	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		ur Giani l'a mangiat tropa turta e l s'a sentut ma	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		Siccome l'ha magnà masa torta, Gianni l'e stat mal	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		omessa	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		Pe avei mangiun tropa turta, u Gianni u se sentiu mò	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		Avendo mangiato troppa torta, Gianni e s'è sentito male	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		Avend magné tropa torta, Gianni u s'è sintì (sintù) mel	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		DAto ch'i aeva mangià de tropo, Giani i s'è sentù mao	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		Giani s'è sentu mal perché l'a mangià tropa turta	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Gianni al se sentu mae perché a l‘eva mangià tropa turta	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Gianni al se sentù mae perché a l'eva mangià tropa turta	Lecco	Lecco,Lecco,Lombardia	Orientale	
		Sicome ch' el gà magnà masa dolse, Giani se gà sentio male	Longare	Longare,Vicenza,Veneto	Meridionale	
		Al Giani che l'ha maiat trop tanta turta, ades al sta mal	Malonno	Malonno,Brescia,Lombardia	Orientale	
		Sicume l'a magnà tropa turta, Giani al s'è sentì mal	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		Vendo magnà massa fugassa, Nane se ga sentio mal	Mestre	Venezia,Venezia,Veneto	Lagunare	
		L a mangià tropa turta , Giani l è sta mal	Milano1	Milano,Milano,Lombardia	Occidentale	
		Sicume l'a mangià tropa turta, el Giani el se sentù mal	Milano2	Milano,Milano,Lombardia	Occidentale	
		Kul fat ke l a manðà tropa turta, Giani l s e sentü' mal	Milano4	Milano,Milano,Lombardia	Occidentale	
		Vent mangiat tanta torta, Gianni si è sintut mal	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		A l'ha mangià tropa torta, Gianni a l'è stait mal	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		O l'ha mangià tropa torta, Gianni o l'è sentisse ma	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		L'ea majà tata de cola turta, che'l ge vignia 'nfina de tra so	Monno	Monno,Brescia,Lombardia	Orientale	
		A aver magnà masa torta, el Giorgio l'è stà mal	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		? Avendo magnà massa torta, Gianni el se ha sentì mal	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		Vendo magnà massa torta, Gianni se ga sentio male	Padova1	Padova,Padova,Veneto	Meridionale	
		Gianni el se ze sentio mae, perchè el ga magnà massa torta	padova2	Padova,Padova,Veneto	Meridionale	
		Gianni a si è sintut mal paseche a l'a mangiat masse torse	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Sicome ch'el ga magnà masa torta, giani el se ga (ze) sentio mal	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		Sicume a l'a mangià tropa torta, Gianni a l'è sentise mal	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		Datu che l'a mangiò troppa turta Gianni l'è sto ma	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		Avendo magnà massa torta, Gianni el se a sentio mal	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		An aian minjá trot ad torto, Djiani ou s’ei santí mâ	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		An aian minjá trot ad torto, Djiani oul ei itá mâ	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		U l'a mangiou troppu turta e u s è sentiu mà	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		Cul ve mangiat massa dolz, a Gianni j a vignut mal	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		Avend magnè tropa torta, Gianni u sè sentì mel	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		Scicume Giuani i gi-ha mangià tropa turta i se sentì mau	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		Al'ha mangià tropa turta, Gianni a l'è sentise mal	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		Avend mengià tropa torta, Gioanin a 's s'é sentusse mal	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		Coum al avio minjà trop de dou, Gianni s'è sentì mal	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		Sicome l'ha magnà masa torta, al Gianni ghi è vegnù mal	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		Sicome che ga magnà massa dolse, Gianni se ga sentio mal / mae	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		Vent (avent) mangjat massa fujassa, Gjani al si è sintut mal	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		Siccome el ga magnà masa torta, Gianni se ga sentio mae	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		Davia che l'ova maià massa teurta, stajova Jan ert	Selva di Val Gardena	Selva di Val Gardena/Wolkenstein in Groeden,Bolzano/Bozen,Trentino Alto Adige	Ladino Atesino	
		Gavendo magnà masa torta, Giani se ze/ga sentio mae	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		Avend mangià tròpa torta, Giors a l'è sentusse mal	Torino	Torino,Torino,Piemonte	Alto piemontese	
		Avenda mangià fondos ed torta, Gianni a l'è sentisse mal	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		Per avej mangià tropa torta , Gioann a l'è sentisse mal/ Avend mangia'...	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		Avend mangià tropa torta, Giano al'è sentusse mal	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		Gioanin a l'ha sentissi mal perchè ch'a l'ha mangià tropa torta	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		Sicomu l'è mangià tropa torta, Giani l'è sintusa mala	Trecate	Trecate,Novara,Piemonte	Novarese	
		El ga magnà massa dolce, Gianni el se gà sentio mal	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		Gavendo magna tropa torta, Giovani se ga sentì mal	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		Sicome el ga magnà massa torta, Gianni se gà sentio male	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		D'avè mangiau tropa turta Giuanin u s'è sentiu ma / Sicume u l'à mangiau..	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		Avendu mangia tropa turta Giani al se santu ma	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		Per iga mangià trop tanta torta, Giani 'l se sinti mal	Vione	Vione,Brescia,Lombardia	Orientale	
						
1.0	9.0	La barca è affondata in pochi minuti				 | acc partic sogg | aux E | ergat | fless 3 | indic pass pross | PP | PP avv | PP indef | PP plur | PP temp | QP aggiunto | sogg def | sogg femm | sogg nom | sogg prev | 
		La barca l'è andacia a font en d'un atom	Albosaggia	Albosaggia,Sondrio,Lombardia	Alpino	
		La barca la s’è afondada en pochi menuti	Aldeno1	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La barca lei nada a font en pochi minuti	Aldeno2	Aldeno,Trento,Trentino Alto Adige	Orientale	
		La barca l'ei nnda afont en pochi minuti	Aldeno3	Aldeno,Trento,Trentino Alto Adige	Orientale	
		Ra borca a l'à fundoo in pochi minuti	Altare	Altare,Savona,Liguria	Gallo-Italico Ligure	
		A barca l'è afondà en te poghi menuti	Arcola	Arcola,La Spezia,Liguria	Gallo-Italico Ligure	
		A barca a s'è persa (a l'è afundà) inte dotrei menuti	Arenzano	Arenzano,Genova,Liguria	Gallo-Italico Ligure	
		A barca l'è afundà inte pochi menuti	Arzeno	Ne,Genova,Liguria	Gallo-Italico Ligure	
		La barca l'e' afundada in du minut	Bergantino	Bergantino,Rovigo,Veneto	Mantovano	 | acc partic sogg | aux E | clit sogg espl | ergat | fless 3 | indic pass pross | PP | PP avv | PP indef | PP plur | PP temp | QP aggiunto | sogg def | sogg femm | sogg nom | sogg prev | 
		La berca l è afundae in poch minut	Bologna2	Bologna,Bologna,Emilia Romagna	Orientale	
		La barca l'è sprufundada in poch minut	Bondeno	Bondeno,Ferrara,Emilia Romagna	Orientale	
		La barca a l'è fondà an pochi minuti	Borgofranco d'Ivrea	Borgofranco d'Ivrea,Torino,Piemonte	Alto piemontese	
		La barca l'a fundassi 'n tun sbarlogiu	Borgomanero	Borgomanero,Novara,Piemonte	Occidentale	
		A barca l'è andò a piccu an pochi minutti	Calizzano	Calizzano,Savona,Liguria	Gallo-Italico Ligure	
		La barca la s'è sfundada in pochi (pughi) minut	Casalmaggiore	Casalmaggiore,Cremona,Lombardia	Orientale	
		A barca la l'è affundae fitu	Casarza Ligure	Casarza Ligure,Genova,Liguria	Gallo-Italico Ligure	
		La barca la s'ha sfondàa en pochi minuti	Castellano	Villa Lagarina,Trento,Trentino Alto Adige	Trentino orientale	
		La barca la s'à sfondà 'nte pochi menuti	Cencenighe Agordino	Cencenighe Agordino,Belluno,Veneto	Ladino-veneto	
		La berca le affundeda sobit	Cesesa1	Cesena,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A barca (a) l'è anà su inte pochi menuti	Cicagna	Cicagna,Genova,Liguria	Gallo-Italico Ligure	
		La barcia e je lada a fond in poos minuus	Cividale	Cividale del Friuli,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		La barca è affondata in pochi minuti	Colle Val d'Elsa	Colle di Val d'Elsa,Siena,Toscana	Toscano Senese	
		Ra barca l'è naia a fund in poch menutt	Comano	Comano,Massa-Carrara,Toscana	Lunigiano	
		La barca l'e affondada in pochi minuti	Farra di Soligo	Farra di Soligo,Treviso,Veneto	Centro-settentrionale	
		A barca l'è afundà in pochi menuti	Favale di Malvaro	Favale di Malvaro,Genova,Liguria	Gallo-Italico Ligure	
		A borca l'è andeta a fundu (fundò)in pochi menuti	Finale Ligure	Finale Ligure,Savona,Liguria	Gallo-Italico Ligure	
		La barca l'affonddata in pochi minuti	Firenze	Firenze,Firenze,Toscana	Toscano Fiorentino	
		La berca l'è afundeda in poch minut	Forlì	Forlì,Forlì-Cesena,Emilia Romagna	Romagnolo	
		A barca l'è andà de pico ente poghi menuti	La Spezia	La Spezia,La Spezia,Liguria	Gallo-Italico Ligure	
		La barca a l'è fundada in poch minut	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La barca la s'è fundada in pochi minot	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La barca a l’è fundada in poch minüt	Lecco	Lecco,Lecco,Lombardia	Orientale	
		La barca sè 'ndà soto acua in pochi minuti	Longare	Longare,Vicenza,Veneto	Meridionale	
		La barca l'è nada a font an du minuch	Malonno	Malonno,Brescia,Lombardia	Orientale	
		La barca l'è sfundada in pochi minu	Mantova	Mantova,Mantova,Lombardia	Mantovano	
		LA barca sè ndada so subito	Mestre	Venezia,Venezia,Veneto	Lagunare	
		La barca l è afundada in poc minut	Milano1	Milano,Milano,Lombardia	Occidentale	
		La barca l'è fundada in poc minut	Milano2	Milano,Milano,Lombardia	Occidentale	
		La barka l e ndada ðo in pok minü't	Milano4	Milano,Milano,Lombardia	Occidentale	
		La barcia é ie affondada in pus minus	Moimacco	Moimacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		La barca a l'è sprofondà an poche minute	Moncalieri	Moncalieri,Torino,Piemonte	Alto piemontese	
		La barca a l'è 'nda a fond en poche minute	Mondovì	Mondovì,Cuneo,Piemonte	Alto piemontese	
		La barca l'è 'ndada a fond 'te cic e tre ot	Monno	Monno,Brescia,Lombardia	Orientale	
		La barca l'ei fondada en de pochi minuti	Montesover	Sover,Trento,Trentino Alto Adige	Ladino-fiammazzo	
		La barca la è afondada in pochi minuti	Motta di Livenza	Motta di Livenza,Treviso,Veneto	Centro-settentrionale	
		-	Novi Ligure	Novi Ligure,Alessandria,Piemonte	Basso piemontese	
		omessa	Oneglia	Imperia,Imperia,Liguria	Gallo-Italico Ligure	
		La barca se fondà (se ndà sto acua) in pochi minuti	Padova1	Padova,Padova,Veneto	Meridionale	
		A barca se affondà in pochi minuti	padova2	Padova,Padova,Veneto	Meridionale	
		La barca a è lade a font in pos minus	Palazzolo dello Stella 	Palazzolo dello Stella,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		La barca la se ga afondà (la zè afondada) in pochi minuti	Palmanova	Palmanova,Udine,Friuli Venezia Giulia	Centro-settentrionale	
		La barca a l'è  andaita a fund 'n poche minute	Poirino	Poirino,Torino,Piemonte	Alto piemontese	
		La barca a rè fondò an pochi minuti	Pontinvrea	Pontinvrea,Savona,Liguria	Gallo-Italico Ligure	
		La barca le fondada in pochi minuti	Pramaggiore	Pramaggiore,Venezia,Veneto	Centro-settentrionale	
		La barco il o plounjá din pâ ran dë tan	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		La barco il ei aná ou foun  din pâ ran dë tan	Ramats	Chiomonte,Torino,Piemonte	Franco Provenzale del Piemonte	
		A barca a l'è afundà in pochi menuti	Reisoni	Fontanigorda,Genova,Liguria	Gallo-Italico Ligure	
		Le barcie je lade sot in pos minus	Remanzacco	Remanzacco,Udine,Friuli Venezia Giulia	Friulano Centro-orientale	
		La berca l'è affundè in poc minut	Rimini	Rimini,Rimini,Emilia Romagna	Romagnolo	
		Aa barca a l'è andà a fundu 'nte poghi menuti	Riomaggiore	Riomaggiore,La Spezia,Liguria	Gallo-Italico Ligure	
		La barca l'è fundà en poche minute	Riva presso Chieri	Chieri,Torino,Piemonte	Alto piemontese	
		La barca o l'é afondà an poch temp	Rivarossa Canavese	Rivarossa,Torino,Piemonte	Alto piemontese	
		La barco à afoundà en calc minutta	Rodoretto	Prali,Torino,Piemonte	Provenzale	
		La barca l'è nade zò en pochi minuti	Rovereto	Rovereto,Trento,Trentino Alto Adige	Veronese	
		(E)a barca xe 'ndada soto aqua in do secondi	Salzano	Salzano,Venezia,Veneto	Centro-settentrionale	
		La barcja 'a si è fondada in pus minus	San Michele al Tagliamento1	San Michele al Tagliamento,Venezia,Veneto	Friulano Occidentale	
		A barca sè afondada in pochi minuti	Scorzé	Scorzè,Venezia,Veneto	Meridionale	
		A barca a ze afondà in puchi minuti	Tezze sul Brenta	Tezze sul Brenta,Vicenza,Veneto	Meridionale	
		La barca a l'è andataita a fond an pòche minute	Torino	Torino,Torino,Piemonte	Alto piemontese	
		LA barca al'è andaita a fond an poche minute	Torino1	Torino,Torino,Piemonte	Alto piemontese	
		La barca a l'è sperfonda an poche minute	Torino2	Torino,Torino,Piemonte	Alto piemontese	
		La barca a l'è andaita giù 'n poche minuites	Torino3	Torino,Torino,Piemonte	Alto piemontese	
		La barca a l'ha andà a fond an poche minute	Torino4	Torino,Torino,Piemonte	Alto piemontese	
		Ara barca l'è fundà in poch minut	Trecate	Trecate,Novara,Piemonte	Novarese	
		'A barca zè 'ndada a fondo in pochi minui	Treviso	Treviso,Treviso,Veneto	Centro-settentrionale	
		La barca (la) ga afondà in pochi minuti	Trieste1	Trieste,Trieste,Friuli Venezia Giulia	Triestino-giuliano	
		La barca xè 'ndà zo in puchi minuti	Trissino	Trissino,Vicenza,Veneto	Meridionale	
		A barca a l'è afundà int in batu d'oiu	Vallecrosia	Vallecrosia,Imperia,Liguria	Gallo-Italico Ligure	
		La barca lè fundada in pochi minot	Vaprio d'Adda	Vaprio d'Adda,Milano,Lombardia	Occidentale	
		La barca l'è ndada a font in poch minucc	Vione	Vione,Brescia,Lombardia	Orientale	
						
